DEPTH,LFP_AI,LFP_AI_B
3180.8928,6457.2539,6457.2539
3181.0454,6239.5078,6239.5078
3181.1978,6077.1548,6077.1548
3181.3501,5906.3901,5906.3901
3181.5024,5916.4302,5916.4302
3181.655,5950.168,5950.168
3181.8074,5993.8809,5993.8809
3181.9597,6095.8442,6095.8442
3182.1121,6112.1802,6112.1802
3182.2644,6055.8198,6055.8198
3182.417,6157.6802,6157.6802
3182.5693,6038.4458,6038.4458
3182.7217,5897.2671,5897.2671
3182.874,5831.2651,5831.2651
3183.0266,5785.228,5785.228
3183.179,5875.6968,5875.6968
3183.3313,5855.0552,5943.8638
3183.4836,5999.292,5999.292
3183.6362,6059.5078,6104.0381
3183.7886,6057.249,6057.249
3183.9409,6158.0581,6158.0581
3184.0933,6334.665,6334.665
3184.2456,6421.335,6421.335
3184.3982,6504.6938,6504.6938
3184.5505,6666.4009,6666.4009
3184.7029,6732.9282,6732.9282
3184.8552,6927.6172,6927.6172
3185.0078,7149.9922,7149.9922
3185.1602,7417.7622,7417.7622
3185.3125,7527.8359,7527.8359
3185.4648,7167.999,7167.999
3185.6174,7141.167,7141.167
3185.7698,7187.7529,7187.7529
3185.9221,7262.1802,7262.1802
3186.0745,7473.9658,7473.9658
3186.2268,7786.4888,7786.4888
3186.3794,8711.1885,8711.1885
3186.5317,9043.0254,9043.0254
3186.6841,8790.4785,8790.4785
3186.8364,8513.9248,8513.9248
3186.989,7620.4351,7620.4351
3187.1414,7369.2808,7369.2808
3187.2937,7543.6738,7543.6738
3187.446,8249.6445,8249.6445
3187.5984,9033.3682,9033.3682
3187.751,9307.6973,9307.6973
3187.9033,9193.96,9193.96
3188.0557,9492.0771,9492.0771
3188.208,8980.3174,8980.3174
3188.3606,8219.6182,8219.6182
3188.5129,7501.5498,7592.623
3188.6653,6902.4922,7210.5879
3188.8176,7206.8169,7389.769
3188.9702,7366.8359,7366.8359
3189.1226,8238.7139,8238.7139
3189.2749,8576.9746,8576.9746
3189.4272,9195.9336,9195.9336
3189.5796,9678.3828,9678.3828
3189.7322,10038.6602,10038.6602
3189.8845,10320.9199,10320.9199
3190.0369,10469.2695,10469.2695
3190.1892,10062.8604,10062.8604
3190.3418,9642.9678,9642.9678
3190.4941,9025,9025
3190.6465,8337.8848,8337.8848
3190.7988,7941.5942,7941.5942
3190.9514,7502.9009,7502.9009
3191.1038,7180.5278,7180.5278
3191.2561,7051.1382,7051.1382
3191.4084,6944.7842,6944.7842
3191.5608,6736.9829,6736.9829
3191.7134,6386.5288,6386.5288
3191.8657,6012.627,6012.627
3192.0181,5758.083,5758.083
3192.1704,5810.3599,5854.6079
3192.323,5810.145,5810.145
3192.4753,5942.0601,5942.0601
3192.6277,6220.5391,6220.5391
3192.78,6729.6982,6729.6982
3192.9326,7346.8428,7346.8428
3193.085,7612.7178,7612.7178
3193.2373,7386.54,7386.54
3193.3896,7143.9282,7143.9282
3193.542,6829.3179,6829.3179
3193.6946,6529.9761,6529.9761
3193.8469,6525.6509,6525.6509
3193.9993,6421.3462,6421.3462
3194.1516,6775.0669,6775.0669
3194.3042,6487.5181,6487.5181
3194.4565,6652.6572,6652.6572
3194.6089,6676.6899,6676.6899
3194.7612,6479.7661,6479.7661
3194.9138,6790.5649,6790.5649
3195.0662,6603.9312,6603.9312
3195.2185,6599.3418,6599.3418
3195.3708,6773.7988,6773.7988
3195.5232,6860.4849,6860.4849
3195.6758,6975.0918,6975.0918
3195.8281,7091.5229,7091.5229
3195.9805,7124.665,7124.665
3196.1328,6742.2759,6742.2759
3196.2854,6451.5259,6451.5259
3196.4377,6609.1729,6609.1729
3196.5901,6640.6489,6640.6489
3196.7424,6999.9819,6999.9819
3196.895,6938.1089,6938.1089
3197.0474,6668.0718,6668.0718
3197.1997,6713.8999,6713.8999
3197.3521,6724.707,6724.707
3197.5044,6740.7241,6740.7241
3197.657,6480.168,6480.168
3197.8093,6660.9399,6660.9399
3197.9617,7352.3979,7352.3979
3198.114,7867.2788,7867.2788
3198.2666,7995.0752,7995.0752
3198.4189,8242.0127,8242.0127
3198.5713,8083.2568,8083.2568
3198.7236,8174.7871,8174.7871
3198.8762,8503.1885,8503.1885
3199.0286,8673.3789,8673.3789
3199.1809,8264.7266,8264.7266
3199.3333,7900.3691,7900.3691
3199.4856,7327.1738,7327.1738
3199.6382,6976.5479,6976.5479
3199.7905,6642.6729,6642.6729
3199.9429,6318.311,6318.311
3200.0952,5050.7739,5668.5518
3200.2478,5302.769,5468.6489
3200.4001,5335.4531,5502.3169
3200.5525,5375.3569,5375.3569
3200.7048,5423.9932,5423.9932
3200.8574,5496.584,5496.584
3201.0098,5619.8628,5619.8628
3201.1621,5634.832,5634.832
3201.3145,5607.9971,5607.9971
3201.4668,5624.3838,5624.3838
3201.6194,5815.356,5815.356
3201.7717,6028.897,6028.897
3201.9241,6267.896,6267.896
3202.0764,6168.8418,6168.8418
3202.229,6164.3091,6164.3091
3202.3813,6224.4458,6224.4458
3202.5337,6596.8149,6596.8149
3202.686,7233.0591,7233.0591
3202.8386,7789.4941,7789.4941
3202.991,8608.877,8608.877
3203.1433,8467.3652,8467.3652
3203.2957,8253.541,8253.541
3203.448,7823.0771,7823.0771
3203.6006,7329.8628,7329.8628
3203.7529,6954.9409,6954.9409
3203.9053,6507.7949,6507.7949
3204.0576,6241.2168,6241.2168
3204.2102,6199.9302,6199.9302
3204.3625,6184.4048,6184.4048
3204.5149,6201.4751,6201.4751
3204.6672,6342.1089,6342.1089
3204.8198,6171.208,6171.208
3204.9722,6291.666,6291.666
3205.1245,6435.2192,6435.2192
3205.2769,6525.8589,6525.8589
3205.4292,6463.436,6463.436
3205.5818,6270.1001,6270.1001
3205.7341,6031.041,6031.041
3205.8865,5919.335,5919.335
3206.0388,6000.7832,6000.7832
3206.1914,6012.8872,6012.8872
3206.3438,5971.1968,5971.1968
3206.4961,5933.5708,5933.5708
3206.6484,5950.8901,5950.8901
3206.801,6258.3428,6258.3428
3206.9534,6202.4512,6202.4512
3207.1057,6466.1499,6466.1499
3207.2581,6436.7529,6436.7529
3207.4104,6592.6201,6592.6201
3207.563,6926.3081,6926.3081
3207.7153,7689.2119,7689.2119
3207.8677,8463.0039,8463.0039
3208.02,8308.6816,8308.6816
3208.1726,9278.834,9278.834
3208.325,10055.5898,10055.5898
3208.4773,10345.71,10345.71
3208.6296,10371.5996,10371.5996
3208.7822,10226.8799,10226.8799
3208.9346,9619.1777,9619.1777
3209.0869,9349.1084,9349.1084
3209.2393,8924.3057,8924.3057
3209.3916,8561.8447,8561.8447
3209.5442,8152.0952,8152.0952
3209.6965,7917.5889,7917.5889
3209.8489,7637.667,7637.667
3210.0012,7174.8281,7174.8281
3210.1538,6754.52,6754.52
3210.3062,6568.1021,6568.1021
3210.4585,6616.604,6616.604
3210.6108,6870.397,6870.397
3210.7634,7324.0142,7324.0142
3210.9158,7202.3779,7202.3779
3211.0681,7216.9399,7216.9399
3211.2205,6532.9902,6532.9902
3211.3728,6193.3979,6193.3979
3211.5254,5909.29,5909.29
3211.6777,5795.2749,5795.2749
3211.8301,5520.6348,5520.6348
3211.9824,5809.2778,5809.2778
3212.135,5828.9521,5828.9521
3212.2874,5956.7041,6041.228
3212.4397,6250.8281,6293.5
3212.592,6744.1362,6833.7622
3212.7446,6986.2529,7076.729
3212.897,7099.4761,7235.562
3213.0493,6939.5581,6939.5581
3213.2017,6995.7612,7039.4038
3213.354,7014.9849,7058.6519
3213.5066,6987.333,6987.333
3213.6589,6969.6172,6969.6172
3213.8113,6987.0791,6987.0791
3213.9636,7061.4019,7061.4019
3214.1162,7101.7832,7101.7832
3214.2686,7168.4829,7168.4829
3214.4209,7225.1909,7225.1909
3214.5732,7301.8218,7301.8218
3214.7258,7393.0322,7393.0322
3214.8782,7437.4229,7437.4229
3215.0305,7432.6812,7432.6812
3215.1829,7404.792,7404.792
3215.3352,7352.585,7352.585
3215.4878,7330.1748,7330.1748
3215.6401,7317.2798,7317.2798
3215.7925,7336.752,7336.752
3215.9448,7374.4531,7374.4531
3216.0974,7448.7959,7448.7959
3216.2498,7479.3481,7479.3481
3216.4021,7479.3892,7479.3892
3216.5544,7476.5991,7476.5991
3216.707,7474.6201,7474.6201
3216.8594,7462.6392,7462.6392
3217.0117,7429.02,7429.02
3217.1641,7344.8872,7344.8872
3217.3164,7290.0171,7290.0171
3217.469,7197.4189,7241.311
3217.6213,7149.729,7237.397
3217.7737,6992.5508,7210.7471
3217.926,6864.4492,7255.751
3218.0786,6735.876,7255.6431
3218.231,6711.4351,7317.3892
3218.3833,6810.1162,7374.4331
3218.5356,6970.667,7450.396
3218.688,7241.2891,7636.7949
3218.8406,7401.9521,7710.9209
3218.9929,7521.5542,7742.9551
3219.1453,7747.7949,7928.2739
3219.2976,7688.5942,7822.02
3219.4502,7907.6948,8044.0098
3219.6025,7822.1812,7822.1812
3219.7549,7894.1191,7894.1191
3219.9072,7864.9312,7864.9312
3220.0598,7874.9229,7874.9229
3220.2122,7863.4658,7863.4658
3220.3645,7842.0508,7842.0508
3220.5168,7841.938,7841.938
3220.6692,7856.0591,7856.0591
3220.8218,7832.9438,7832.9438
3220.9741,7759.5718,7759.5718
3221.1265,7677.4658,7677.4658
3221.2788,7620.084,7620.084
3221.4314,7602.1528,7602.1528
3221.5837,7611.5322,7611.5322
3221.7361,7631.687,7631.687
3221.8884,7664.1572,7664.1572
3222.041,7680.0562,7680.0562
3222.1934,7687.0361,7687.0361
3222.3457,7677.9131,7677.9131
3222.498,7679.0981,7679.0981
3222.6504,7691.0151,7735.4932
3222.803,7718.8452,7718.8452
3222.9553,7746.1602,7746.1602
3223.1077,7779.647,7779.647
3223.26,7806.9141,7806.9141
3223.4126,7822.9121,7822.9121
3223.5649,7810.5581,7810.5581
3223.7173,7751.2451,7751.2451
3223.8696,7696.6152,7696.6152
3224.0222,7622.6821,7622.6821
3224.1746,7575.542,7575.542
3224.3269,7548.4668,7592.7778
3224.4792,7552.2119,7596.5278
3224.6316,7578.8672,7578.8672
3224.7842,7636.271,7636.271
3224.9365,7665.1538,7665.1538
3225.0889,7680.5991,7680.5991
3225.2412,7681.3828,7681.3828
3225.3938,7696.4082,7696.4082
3225.5461,7725.646,7725.646
3225.6985,7777.2979,7777.2979
3225.8508,7806.3428,7806.3428
3226.0034,7822.5288,7822.5288
3226.1558,7831.0962,7831.0962
3226.3081,7847.3408,7847.3408
3226.4604,7871.7378,7871.7378
3226.6128,7891.4468,7891.4468
3226.7654,7920.771,7920.771
3226.9177,7943.3838,7943.3838
3227.0701,7977.1421,7977.1421
3227.2224,7995.0708,7995.0708
3227.375,8008.144,8008.144
3227.5273,8010.75,8010.75
3227.6797,7992.0308,7992.0308
3227.832,7937.375,7937.375
3227.9846,7870.2822,7870.2822
3228.137,7783.6021,7783.6021
3228.2893,7738.0898,7738.0898
3228.4417,7701.6201,7701.6201
3228.594,7699.9248,7699.9248
3228.7466,7707.7588,7707.7588
3228.8989,7724.019,7724.019
3229.0513,7735.9082,7735.9082
3229.2036,7725.9199,7725.9199
3229.3562,7693.415,7693.415
3229.5085,7678.6299,7678.6299
3229.6609,7688.4521,7688.4521
3229.8132,7694.562,7694.562
3229.9658,7679.229,7679.229
3230.1182,7646.417,7646.417
3230.2705,7612.7959,7612.7959
3230.4229,7597.7759,7642.146
3230.5752,7592.647,7681.375
3230.7278,7601.2671,7690.0142
3230.8801,7616.8789,7705.6631
3231.0325,7650.834,7739.6968
3231.1848,7688.8442,7777.7949
3231.3374,7744.6802,7789.2202
3231.4897,7812.9019,7857.52
3231.6421,7866.5552,7911.2339
3231.7944,7923.8418,7968.5859
3231.947,7958.0791,7958.0791
3232.0994,7958.8208,7958.8208
3232.2517,7915.9312,7915.9312
3232.4041,7858.769,7858.769
3232.5564,7794.751,7794.751
3232.709,7752.1079,7796.6572
3232.8613,7735.291,7779.8188
3233.0137,7738.2441,7782.7769
3233.166,7732.1929,7776.7192
3233.3186,7740.187,7740.187
3233.4709,7750.603,7750.603
3233.6233,7771.3149,7771.3149
3233.7756,7779.5679,7779.5679
3233.9282,7795.1748,7795.1748
3234.0806,7809.896,7809.896
3234.2329,7831.2988,7831.2988
3234.3853,7826.7261,7826.7261
3234.5376,7825.3652,7825.3652
3234.6902,7829.6309,7829.6309
3234.8425,7848.3931,7848.3931
3234.9949,7870.5781,7870.5781
3235.1472,7890.1919,7890.1919
3235.2998,7909.0781,7909.0781
3235.4521,7927.8149,7927.8149
3235.6045,7939.3149,7939.3149
3235.7568,7944.1001,7944.1001
3235.9094,7954.6348,7954.6348
3236.0618,7949.9082,7949.9082
3236.2141,7940.4238,7940.4238
3236.3665,7914.978,7914.978
3236.5188,7897.668,7897.668
3236.6714,7862.478,7862.478
3236.8237,7833.7441,7833.7441
3236.9761,7787.7832,7832.373
3237.1284,7765.1401,7854.2671
3237.281,7753.835,7842.936
3237.4333,7761.0132,7805.5718
3237.5857,7761.8008,7806.3599
3237.738,7724.0962,7768.6118
3237.8906,7645.4888,7734.3389
3238.043,7586.437,7675.1499
3238.1953,7539.0068,7671.9092
3238.3477,7484.7549,7617.4658
3238.5,7446.6851,7579.2598
3238.6526,7441.3169,7573.873
3238.8049,7470.6431,7603.3042
3238.9573,7559.2808,7647.9302
3239.1096,7648.728,7693.1558
3239.2622,7758.6519,7758.6519
3239.4146,7812.2632,7812.2632
3239.5669,7845.2842,7845.2842
3239.7192,7849.062,7849.062
3239.8718,7827.9868,7827.9868
3240.0242,7757.1348,7757.1348
3240.1765,7698.373,7742.8599
3240.3289,7619.2588,7708.0479
3240.4812,7578.9629,7712.0059
3240.6338,7563.3428,7696.3311
3240.7861,7574.7568,7707.7852
3240.9385,7586.501,7719.5708
3241.0908,7621.3501,7710.144
3241.2434,7647.96,7692.3882
3241.3958,7660.5161,7704.958
3241.5481,7650.3799,7694.811
3241.7004,7630.5361,7674.9429
3241.853,7576.7529,7665.4429
3242.0054,7535.3252,7579.6211
3242.1577,7461.998,7506.208
3242.3101,7428.6099,7472.7808
3242.4624,7405.9961,7450.1392
3242.615,7386.7891,7430.9092
3242.7673,7374.1191,7418.2241
3242.9197,7371.875,7415.9771
3243.072,7385.2178,7429.3359
3243.2246,7397.0571,7397.0571
3243.377,7429.6362,7429.6362
3243.5293,7456.0718,7456.0718
3243.6816,7526.439,7526.439
3243.8342,7531.3628,7531.3628
3243.9866,7571.6909,7571.6909
3244.1389,7547.5068,7547.5068
3244.2913,7530.3442,7530.3442
3244.4436,7500.335,7500.335
3244.5962,7534.5791,7534.5791
3244.7485,7566.752,7566.752
3244.9009,7664.189,7664.189
3245.0532,7598.3838,7598.3838
3245.2058,7673.772,7673.772
3245.3582,7681.481,7681.481
3245.5105,7705.373,7705.373
3245.6628,7655.5259,7655.5259
3245.8154,7660.5269,7660.5269
3245.9678,7596.0269,7596.0269
3246.1201,7541.9648,7541.9648
3246.2725,7418.3662,7418.3662
3246.4248,7368.5112,7368.5112
3246.5774,7306.395,7306.395
3246.7297,7307.9971,7307.9971
3246.8821,7276.5269,7276.5269
3247.0344,7185.9741,7185.9741
3247.187,7016.8159,7016.8159
3247.3394,7038.645,7038.645
3247.4917,7035.752,7035.752
3247.644,6673.0991,6673.0991
3247.7966,6431.7349,6431.7349
3247.949,5948.0039,5948.0039
3248.1013,6104.8818,6104.8818
3248.2537,6037.0591,6037.0591
3248.406,5824.6929,5824.6929
3248.5586,5793.3789,5793.3789
3248.7109,5743.394,5743.394
3248.8633,5644.2178,5644.2178
3249.0156,5702.729,5702.729
3249.1682,5618.6729,5618.6729
3249.3206,5782.4541,5782.4541
3249.4729,5809.2881,5809.2881
3249.6252,5907.8311,5907.8311
3249.7776,5898.7461,5898.7461
3249.9302,6215.0962,6215.0962
3250.0825,5976.0059,5976.0059
3250.2349,6232.3149,6232.3149
3250.3872,6300.3442,6300.3442
3250.5398,6001.3721,6001.3721
3250.6921,5909.416,5909.416
3250.8445,6119.3291,6119.3291
3250.9968,6085.542,6085.542
3251.1494,6216.3691,6216.3691
3251.3018,6223.9219,6223.9219
3251.4541,6224.0161,6224.0161
3251.6064,6215.8052,6215.8052
3251.7588,6310.9541,6310.9541
3251.9114,6185.4609,6185.4609
3252.0637,6137.8931,6137.8931
3252.2161,6132.3262,6132.3262
3252.3684,6409.3408,6409.3408
3252.521,6114.9961,6114.9961
3252.6733,6234.6152,6234.6152
3252.8257,6317.8848,6317.8848
3252.978,6436.3291,6436.3291
3253.1306,6489.2588,6532.25
3253.283,6535.9409,6579.0181
3253.4353,6546.8521,6589.9199
3253.5876,6564.772,6650.9551
3253.74,6563.0752,6692.3428
3253.8926,6594.6958,6680.958
3254.0449,6614.6572,6700.9712
3254.1973,6648.9692,6692.1699
3254.3496,6640.895,6640.895
3254.5022,6607.3379,6607.3379
3254.6545,6531.9609,6575.0088
3254.8069,6460.437,6589.2969
3254.9592,6439.8608,6611.5669
3255.1118,6447.9932,6619.7422
3255.2642,6463.8159,6678.6069
3255.4165,6430.3569,6559.0981
3255.5688,6420.4829,6549.1851
3255.7212,6381.4111,6467.1069
3255.8738,6392.6611,6478.3872
3256.0261,6419.562,6505.3599
3256.1785,6451.7988,6494.7412
3256.3308,6441.8271,6441.8271
3256.4834,6400.0981,6400.0981
3256.6357,6265.7808,6265.7808
3256.7881,6115.396,6335.1831
3256.9404,6018.1118,6018.1118
3257.093,6052.6372,6052.6372
3257.2454,6717.021,6717.021
3257.3977,5926.5439,5926.5439
3257.55,5723.3872,5723.3872
3257.7024,5470.248,5511.7959
3257.855,5856.8872,5856.8872
3258.0073,5996.1968,5996.1968
3258.1597,5936.2012,5936.2012
3258.312,5824.4639,5824.4639
3258.4646,5938.5298,5938.5298
3258.6169,6030.6621,6030.6621
3258.7693,5961.481,5961.481
3258.9216,5732.5771,5732.5771
3259.0742,5756.8379,5756.8379
3259.2266,5748.7031,5748.7031
3259.3789,5885.5088,5885.5088
3259.5312,6074.0679,6074.0679
3259.6836,6078.5249,6078.5249
3259.8362,6381.0181,6381.0181
3259.9885,6394.5098,6394.5098
3260.1409,6304.4541,6304.4541
3260.2932,6264.29,6264.29
3260.4458,6231.7271,6231.7271
3260.5981,6043.3872,6043.3872
3260.7505,6116.52,6116.52
3260.9028,6148.3682,6148.3682
3261.0554,6204.4009,6204.4009
3261.2078,6168.2739,6168.2739
3261.3601,6203.5532,6203.5532
3261.5125,6272.8301,6272.8301
3261.6648,6402.5898,6402.5898
3261.8174,6618.8589,6618.8589
3261.9697,6758.5239,6758.5239
3262.1221,6903.7241,6903.7241
3262.2744,6869.645,6869.645
3262.427,6924.4839,6924.4839
3262.5793,7000.4819,7000.4819
3262.7317,7128.0942,7128.0942
3262.884,7201.4482,7201.4482
3263.0366,7338.6201,7338.6201
3263.189,7418.9849,7418.9849
3263.3413,7580.5991,7580.5991
3263.4937,7904.2139,7904.2139
3263.646,8302.0381,8302.0381
3263.7986,8831.7139,8831.7139
3263.9509,9208.9805,9208.9805
3264.1033,9279.5938,9279.5938
3264.2556,8386.7842,8386.7842
3264.4082,7525.311,7525.311
3264.5605,7385.9619,7385.9619
3264.7129,7008.2139,7008.2139
3264.8652,6956.1162,6956.1162
3265.0178,6689.7471,6689.7471
3265.1702,6682.875,6682.875
3265.3225,6948.9912,6948.9912
3265.4749,7317.397,7317.397
3265.6272,7427.9341,7427.9341
3265.7798,7550.0391,7550.0391
3265.9321,7589.6001,7589.6001
3266.0845,7498.1768,7498.1768
3266.2368,7376.2939,7376.2939
3266.3894,7166.6392,7166.6392
3266.5417,7041.9009,7041.9009
3266.6941,6926.8071,6926.8071
3266.8464,6850.7402,6850.7402
3266.999,6764.6489,6808
3267.1514,6648.2642,6734.665
3267.3037,6603.7051,6733.1328
3267.4561,6595.2002,6681.4629
3267.6084,6609.3721,6652.522
3267.761,6627.4858,6627.4858
3267.9133,6627.5942,6627.5942
3268.0657,6632.5122,6632.5122
3268.218,6655.2012,6655.2012
3268.3706,6701.853,6745.123
3268.5229,6801.5298,6801.5298
3268.6753,6859.2168,6859.2168
3268.8276,6928.623,6928.623
3268.9802,7006.5918,7006.5918
3269.1326,7132.8442,7132.8442
3269.2849,7198.4551,7198.4551
3269.4373,7283.9971,7283.9971
3269.5896,7270.1899,7270.1899
3269.7422,7268.1948,7312.2231
3269.8945,7352.707,7352.707
3270.0469,7393.2959,7393.2959
3270.1992,7414.3101,7414.3101
3270.3518,7405.9858,7405.9858
3270.5042,7402.8159,7402.8159
3270.6565,7403.3271,7403.3271
3270.8088,7429.084,7429.084
3270.9614,7451.5229,7451.5229
3271.1138,7389.752,7389.752
3271.2661,7334.8301,7334.8301
3271.4185,7213.8418,7213.8418
3271.5708,7139.832,7183.6528
3271.7234,7104.2402,7148.0581
3271.8757,7150.2549,7194.0889
3272.0281,7274.6128,7274.6128
3272.1804,7363.6162,7363.6162
3272.333,7390.98,7390.98
3272.4854,7357.7998,7357.7998
3272.6377,7345.9771,7345.9771
3272.79,7378.8799,7378.8799
3272.9426,7274.375,7274.375
3273.095,7337.4771,7382.084
3273.2473,7180.9639,7268.8149
3273.3997,7250.5771,7294.5342
3273.552,7243.647,7331.543
3273.7046,7332.5669,7332.5669
3273.8569,7272.916,7360.8828
3274.0093,7342.9712,7387.0391
3274.1616,7428.8472,7428.8472
3274.3142,7653.4932,7653.4932
3274.4666,7809.9072,7809.9072
3274.6189,7934.917,7934.917
3274.7712,7937.2939,7937.2939
3274.9238,7863.3301,7863.3301
3275.0762,7714.147,7714.147
3275.2285,7611.2061,7611.2061
3275.3809,7565.8198,7565.8198
3275.5332,7575.1831,7575.1831
3275.6858,7662.25,7662.25
3275.8381,7664.2651,7664.2651
3275.9905,7726.5771,7726.5771
3276.1428,7703.939,7703.939
3276.2954,7651.5088,7651.5088
3276.4478,7680.8511,7680.8511
3276.6001,7693.2329,7693.2329
3276.7524,7845.7051,7845.7051
3276.905,8061.7002,8061.7002
3277.0574,8452.833,8452.833
3277.2097,9050.7549,9050.7549
3277.3621,9567.6309,9567.6309
3277.5144,10170.6904,10170.6904
3277.667,10392.1699,10392.1699
3277.8193,10524.0498,10524.0498
3277.9717,10039.5303,10039.5303
3278.124,9168.4941,9168.4941
3278.2766,8826.3164,8826.3164
3278.429,8602.9785,8602.9785
3278.5813,8398.5723,8398.5723
3278.7336,8331.6396,8331.6396
3278.8862,8345.8975,8345.8975
3279.0386,8446.8115,8446.8115
3279.1909,8603.8359,8603.8359
3279.3433,8709.2031,8709.2031
3279.4956,9000.0078,9000.0078
3279.6482,8894.2744,8894.2744
3279.8005,8359.5889,8359.5889
3279.9529,8302.001,8302.001
3280.1052,7392.126,7392.126
3280.2578,6753.415,6753.415
3280.4102,6418.5171,6463.7349
3280.5625,6206.8779,6206.8779
3280.7148,6130.6919,6130.6919
3280.8674,6051,6227.9922
3281.0198,6220.625,6220.625
3281.1721,6072.793,6204.189
3281.3245,6200.1929,6334.042
3281.4768,6096.0142,6096.0142
3281.6294,6381.6118,6381.6118
3281.7817,6311.896,6311.896
3281.9341,6207.3999,6252.1831
3282.0864,6121.1768,6121.1768
3282.239,5953.2808,6131.1479
3282.3914,6049.7822,6049.7822
3282.5437,5992.688,5992.688
3282.696,5913.73,5913.73
3282.8484,5883.1841,5883.1841
3283.001,5851.3682,5851.3682
3283.1533,5790.0322,5790.0322
3283.3057,5812.5498,5812.5498
3283.458,5724.1909,5724.1909
3283.6106,5923.7612,5923.7612
3283.7629,5936.0679,5936.0679
3283.9153,6490.667,6490.667
3284.0676,6582.229,6582.229
3284.2202,6383.728,6383.728
3284.3726,6238.8589,6238.8589
3284.5249,6240.272,6240.272
3284.6772,6411.1021,6411.1021
3284.8296,6939.894,6939.894
3284.9822,6450.9639,6450.9639
3285.1345,6574.959,6574.959
3285.2869,6191.6299,6191.6299
3285.4392,5897.145,5897.145
3285.5918,6027.1699,6027.1699
3285.7441,6590.7002,6590.7002
3285.8965,6898.5962,6898.5962
3286.0488,7050.6069,7050.6069
3286.2014,7016.0298,7016.0298
3286.3538,6640.8921,6640.8921
3286.5061,6111.25,6111.25
3286.6584,5932.3442,5932.3442
3286.8108,5768.5,5768.5
3286.9634,5806.04,5806.04
3287.1157,5947.6592,5947.6592
3287.2681,5991.7002,5991.7002
3287.4204,5831.6348,5831.6348
3287.573,5972.7681,5972.7681
3287.7253,5899.936,5899.936
3287.8777,5776.3418,5776.3418
3288.03,5766.9741,5766.9741
3288.1826,5665.707,5665.707
3288.335,5672.2461,5714.0962
3288.4873,5690.0459,5773.874
3288.6396,5711.624,5795.4399
3288.792,5870.4771,5998.5649
3288.9446,5789.2021,5873.2461
3289.0969,5758.5322,5842.4858
3289.2493,5588.082,5754.9829
3289.4016,5541.8452,5708.4702
3289.5542,5649.3652,5732.999
3289.7065,6033.7808,6033.7808
3289.8589,6241.5068,6241.5068
3290.0112,6369.355,6369.355
3290.1638,6222.9961,6222.9961
3290.3162,6184.1602,6226.7402
3290.4685,6149.3232,6234.3872
3290.6208,6141.7979,6226.8408
3290.7732,6078.4409,6205.7412
3290.9258,6085.9121,6213.2441
3291.0781,6050.731,6220.3101
3291.2305,6079.1909,6248.9282
3291.3828,6101.106,6228.501
3291.5354,6152.7891,6237.8618
3291.6877,6174.0679,6216.6338
3291.8401,6179.4561,6222.0288
3291.9924,6158.2388,6200.7832
3292.145,6119.1431,6204.123
3292.2974,6070.502,6197.769
3292.4497,6056.5869,6183.7949
